Ram_EID,Ram_coller,Ewe_EID,Ewe_coller,Plot,14/2/2023 12:00,14/2/2023 16:00,14/2/2023 20:00,15/2/2023 00:00,15/2/2023 04:00,15/2/2023 08:00,15/2/2023 12:00,15/2/2023 16:00,15/2/2023 20:00,16/2/2023 00:00,16/2/2023 04:00,16/2/2023 08:00,16/2/2023 12:00,16/2/2023 16:00,16/2/2023 20:00,17/2/2023 00:00,17/2/2023 04:00,17/2/2023 08:00,17/2/2023 12:00,17/2/2023 16:00,17/2/2023 20:00,18/2/2023 00:00,18/2/2023 04:00,18/2/2023 08:00,18/2/2023 12:00,18/2/2023 16:00,18/2/2023 20:00,19/2/2023 00:00,19/2/2023 04:00,19/2/2023 08:00,19/2/2023 12:00,19/2/2023 16:00,19/2/2023 20:00,20/2/2023 00:00,20/2/2023 04:00,20/2/2023 08:00,20/2/2023 12:00,20/2/2023 16:00,20/2/2023 20:00,21/2/2023 00:00,21/2/2023 04:00,21/2/2023 08:00,21/2/2023 12:00,21/2/2023 16:00,21/2/2023 20:00,22/2/2023 00:00,22/2/2023 04:00,22/2/2023 08:00,22/2/2023 12:00,22/2/2023 16:00,22/2/2023 20:00,23/2/2023 00:00,23/2/2023 04:00,23/2/2023 08:00,23/2/2023 12:00,23/2/2023 16:00,23/2/2023 20:00,24/2/2023 00:00,24/2/2023 04:00,24/2/2023 08:00,24/2/2023 12:00,24/2/2023 16:00,24/2/2023 20:00,25/2/2023 00:00,25/2/2023 04:00,25/2/2023 08:00,25/2/2023 12:00,25/2/2023 16:00,25/2/2023 20:00,26/2/2023 00:00,26/2/2023 04:00,26/2/2023 08:00,26/2/2023 12:00,26/2/2023 16:00,26/2/2023 20:00,27/2/2023 00:00,27/2/2023 04:00,27/2/2023 08:00,27/2/2023 12:00,27/2/2023 16:00,27/2/2023 20:00,28/2/2023 00:00,28/2/2023 04:00,28/2/2023 08:00,28/2/2023 12:00,28/2/2023 16:00,28/2/2023 20:00,1/3/2023 00:00,1/3/2023 04:00,1/3/2023 08:00,1/3/2023 12:00,1/3/2023 16:00,1/3/2023 20:00,2/3/2023 00:00,2/3/2023 04:00,2/3/2023 08:00,2/3/2023 12:00,2/3/2023 16:00,2/3/2023 20:00,3/3/2023 00:00,3/3/2023 04:00,3/3/2023 08:00,3/3/2023 12:00,3/3/2023 16:00,3/3/2023 20:00,4/3/2023 00:00,4/3/2023 04:00,4/3/2023 08:00,4/3/2023 12:00,4/3/2023 16:00,4/3/2023 20:00,5/3/2023 00:00,5/3/2023 04:00,5/3/2023 08:00,5/3/2023 12:00,5/3/2023 16:00,5/3/2023 20:00,6/3/2023 00:00,6/3/2023 04:00,6/3/2023 08:00,6/3/2023 12:00,6/3/2023 16:00,6/3/2023 20:00,7/3/2023 00:00,7/3/2023 04:00,7/3/2023 08:00,7/3/2023 12:00,7/3/2023 16:00,7/3/2023 20:00
940 110012305898,w1620,940 110012566859,2536,No Shade,,6,14,1,7,20,1,2,3,13,6,8,17,,5,9,18,13,30,5,10,1,,1,10,8,3,4,2,5,18,5,10,5,1,3,14,8,5,36,4,3,6,9,,7,17,3,23,8,6,10,4,9,16,6,9,11,5,12,13,13,15,14,9,14,19,15,6,9,8,23,28,21,17,12,3,13,4,12,7,15,6,16,10,2,16,5,7,14,15,4,3,6,3,19,11,2,8,11,3,4,18,17,7,8,17,14,41,12,9,2,17,15,37,6,15,5,13,,,,,,,,,,
940 110012305898,w1620,940 110006544371,2625,No Shade,,6,6,9,10,,4,3,7,8,11,9,3,6,8,4,10,9,2,7,8,4,6,4,1,3,4,1,8,3,1,6,5,31,11,,3,9,2,2,3,1,12,2,31,2,1,9,8,14,5,16,7,8,13,,5,10,7,20,,7,9,2,7,1,5,6,48,8,7,1,17,16,4,3,4,14,1,2,5,2,40,36,21,12,8,19,5,7,19,16,1,3,4,9,5,5,6,8,16,4,7,3,7,,5,15,2,24,4,11,21,,,4,8,6,12,,,,,,,,,,
940 110012305898,w1620,940 110009540453,3794,No Shade,,4,4,4,1,,1,4,4,1,7,6,2,11,5,7,2,1,5,1,5,1,2,,4,4,5,,6,4,7,2,3,2,3,1,9,4,,5,2,13,8,1,2,5,12,4,9,6,21,13,3,5,6,,12,3,3,5,5,5,2,5,2,6,5,5,9,5,5,2,8,8,9,13,5,12,1,3,7,14,5,,4,3,4,6,2,3,7,9,27,28,,6,2,6,12,24,6,,7,4,9,3,2,1,2,4,7,17,13,1,,5,5,4,,,,,,,,,,,
940 110012305898,w1620,940 110009538339,Y464,No Shade,,4,5,20,,15,6,2,8,8,11,1,,2,5,7,,2,1,1,13,2,9,3,,1,6,14,7,5,,3,7,9,7,3,1,7,12,2,8,1,11,5,11,8,7,6,,3,8,4,13,5,4,29,8,7,6,10,3,2,10,24,7,7,35,12,2,10,6,5,,16,7,11,,7,3,5,3,7,6,2,,1,9,4,4,7,,9,2,6,5,19,2,9,6,7,8,2,3,20,16,3,1,2,2,10,9,9,2,,,4,19,3,,,,,,,,,,,
940 110012305898,w1620,940 110012553568,2401,No Shade,,14,2,2,1,1,5,5,6,9,9,5,25,2,6,3,1,3,2,8,7,14,10,2,3,9,2,4,5,12,10,18,1,6,3,10,6,2,9,1,4,6,19,12,16,5,3,6,3,3,5,7,8,9,2,9,7,38,13,11,14,8,4,4,3,6,2,8,4,12,6,16,2,15,11,1,4,8,6,2,9,51,10,25,47,14,20,12,26,4,4,1,3,4,3,6,12,6,12,4,11,5,4,5,4,2,12,14,3,7,15,7,7,2,,12,5,4,13,,,,,,,,,,
940 110012305898,w1620,940 110009538750,3715,No Shade,,13,2,5,1,,6,3,6,5,7,21,5,57,25,19,13,7,3,11,8,4,11,2,4,5,11,5,9,11,11,3,14,10,3,2,3,7,6,6,3,9,8,5,8,13,18,26,4,13,22,7,2,9,9,25,15,6,5,5,,4,5,7,2,1,6,9,7,8,6,8,,7,6,30,3,8,14,13,6,6,9,6,10,8,8,10,5,1,12,4,1,10,7,2,24,24,5,10,8,23,4,4,16,3,9,10,,9,9,8,3,6,8,15,37,9,4,,,,,,,,,,
940 110012305898,w1620,940 110012565654,W9560,No Shade,,2,2,19,,,38,7,12,5,4,7,17,3,3,5,2,,25,3,2,5,2,,12,3,5,1,2,12,7,2,9,7,1,2,7,4,2,,1,9,1,3,5,19,,19,4,2,2,4,2,2,4,5,8,12,5,1,,1,5,3,18,3,2,12,3,9,11,,1,7,3,3,2,3,2,3,8,8,8,6,4,4,5,1,20,3,25,3,1,2,2,9,4,7,9,7,4,8,4,3,4,8,8,10,7,1,8,,17,,1,14,3,9,28,,,,,,,,,,
940 110012305898,w1620,940 110012553813,2593,No Shade,1,1,9,13,,,,3,18,3,,13,,3,5,6,5,,2,7,,4,1,1,8,8,7,1,3,7,,2,,4,3,1,4,9,,5,6,4,4,2,3,4,,5,2,7,2,7,7,2,6,2,6,3,2,1,,,1,,1,,1,,1,1,2,1,,,,1,1,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940 110012305898,w1620,940 110012554149,W923,No Shade,1,4,10,21,28,41,11,7,2,3,6,3,1,4,6,8,1,14,9,3,7,2,10,4,7,6,11,6,5,15,2,1,3,12,,8,5,16,10,6,8,10,25,6,4,15,5,7,28,1,5,6,7,12,5,13,16,8,9,10,32,13,11,8,2,7,5,8,5,16,9,6,44,12,21,19,,4,26,6,7,7,6,4,15,3,12,7,4,7,20,11,22,9,5,28,20,5,26,11,11,5,16,24,8,6,4,1,19,4,16,13,6,16,39,1,,,,,,,,,,,,,
940 110012305898,w1620,940 110012567013,2965,No Shade,,10,4,3,5,,6,13,2,3,5,,,3,2,15,5,6,10,1,6,,12,,4,2,7,,6,2,10,4,13,3,2,1,9,9,14,4,4,6,33,4,6,17,16,6,7,10,5,14,,11,7,9,6,13,1,5,9,6,1,1,3,2,7,5,1,2,9,2,10,10,5,6,15,17,5,32,7,11,4,33,4,3,7,8,4,5,32,5,2,,3,7,,10,,7,2,8,,10,5,4,5,37,22,8,17,10,9,4,9,8,4,16,16,,,,,,,,,,
940 110012305898,w1620,940 110009540426,2463,No Shade,,2,,5,5,5,1,5,2,1,2,4,8,1,3,5,1,1,1,2,5,12,1,,2,5,6,1,5,3,2,2,9,8,1,,,4,9,2,2,1,8,4,9,2,1,7,,4,8,4,8,5,2,12,5,7,15,6,,4,6,13,8,4,3,12,3,9,6,2,,14,4,4,4,9,15,19,10,17,13,7,,6,15,5,12,6,1,7,3,18,3,19,2,1,4,3,9,3,9,3,13,10,4,7,3,9,6,9,14,,2,3,2,3,14,,,,,,,,,,
940 110012305898,w1620,940 110009541497,2680,No Shade,,5,8,3,,,4,4,3,5,4,8,10,4,12,9,4,3,22,3,2,12,5,8,5,5,10,10,5,4,8,4,5,5,1,4,17,25,10,6,2,,15,1,,4,4,3,2,5,6,18,1,4,4,17,3,24,5,7,2,7,2,3,3,5,3,6,11,7,3,11,13,8,6,13,4,20,18,5,4,5,6,8,5,3,9,6,18,12,10,7,8,8,4,3,9,9,5,19,7,16,8,4,1,14,6,15,14,17,9,4,3,4,,,,,,,,,,,,,,,
940 110012305898,w1620,940 110009541612,w1741,No Shade,,7,2,16,2,1,,4,7,,2,2,,,8,4,1,,,1,1,12,6,3,,5,5,7,4,7,1,4,9,13,2,2,,3,5,9,4,3,1,1,20,4,7,2,,6,29,20,3,9,5,3,14,5,5,11,,3,15,16,16,3,,6,12,5,15,2,,13,7,4,2,4,,4,3,4,7,1,,,9,8,1,2,,4,3,6,3,4,1,8,13,3,17,,,10,24,17,4,6,,3,17,4,4,,1,9,11,,1,,,,,,,,,,
940 110012305898,w1620,940 110012554102,w1562,No Shade,,6,3,8,1,,1,,11,9,3,1,5,3,8,8,20,10,20,2,9,10,9,3,9,3,4,5,,5,11,3,4,5,8,18,1,2,10,2,5,4,1,6,4,11,2,3,6,9,10,11,4,3,43,32,13,12,3,4,13,2,3,3,9,17,17,18,22,5,9,10,17,3,16,2,1,7,22,13,6,5,10,13,11,3,4,3,9,12,24,45,26,7,9,10,17,5,9,8,6,15,15,12,5,8,3,,24,7,11,4,11,11,19,9,19,6,3,,,,,,,,,,
940 110012305898,w1620,940 110009539564,o41,No Shade,,1,6,36,11,2,19,7,2,3,8,,,2,2,1,2,9,4,7,4,7,,,,1,7,18,14,11,3,3,17,4,,,6,1,11,2,3,10,20,2,13,4,1,1,1,3,15,8,5,2,1,1,11,14,3,1,,3,13,8,4,6,1,3,5,3,6,3,,8,11,2,,10,2,2,7,10,11,,5,4,2,7,14,10,2,2,5,10,1,5,3,4,2,11,3,3,,5,5,11,13,5,5,2,7,4,,,,9,8,19,,,,,,,,,,,
940 110012305898,w1620,940 110012567439,3797,No Shade,2,7,17,13,1,1,3,2,8,5,7,7,1,1,21,8,35,2,9,3,4,17,9,1,1,10,24,1,17,5,1,8,10,11,3,,8,15,9,3,1,5,5,6,8,21,3,23,18,4,7,21,16,7,2,2,7,2,4,2,2,8,13,4,5,10,5,2,3,11,13,1,9,,5,8,29,2,3,9,3,6,7,5,10,13,27,12,10,6,3,7,30,13,,2,3,2,44,3,6,2,,2,10,27,7,4,,3,5,4,5,10,,5,8,3,10,,,,,,,,,,
940 110012305898,w1620,940 110006719998,2598,No Shade,,4,2,10,2,,,8,4,9,4,6,,3,4,7,,3,1,5,,2,,,1,,1,1,3,1,2,7,9,9,5,1,1,2,18,,14,5,21,,2,6,1,1,1,4,6,9,7,4,4,,8,3,2,2,,3,,5,3,1,,1,3,2,2,3,7,,2,20,9,6,2,8,7,1,12,3,2,,5,15,3,7,,3,1,,11,4,,2,13,1,4,1,5,1,6,4,3,2,,5,4,2,8,,,3,26,4,4,,,,,,,,,,
940 110012305898,w1620,940 110012565646,w1578,No Shade,,5,5,5,7,,4,4,2,9,77,76,41,39,11,7,1,2,17,2,11,26,10,4,7,4,8,13,6,5,6,9,13,20,1,5,3,5,7,7,6,4,6,8,21,8,8,2,,21,11,3,5,18,13,8,11,38,9,1,18,13,17,21,3,8,11,6,50,10,5,7,25,15,26,10,6,5,7,6,9,3,9,27,4,4,11,4,7,8,15,5,10,15,1,1,6,26,4,15,6,12,3,10,7,24,14,29,19,21,18,5,4,19,14,6,10,4,26,,,,,,,,,,
940 110012305898,w1620,940 110009541075,W1552,No Shade,1,7,28,11,4,26,1,8,3,3,1,10,,4,4,6,3,2,3,3,,8,10,12,,,11,2,8,9,9,9,13,8,3,3,3,7,4,,2,8,,17,4,4,3,5,7,12,25,4,18,17,9,4,9,23,7,5,4,4,40,,15,3,2,2,5,2,5,10,,6,7,8,6,10,7,11,12,8,11,4,5,5,6,6,8,5,8,,,14,5,16,11,12,10,4,5,12,6,11,5,11,6,1,2,8,5,19,3,6,2,5,5,4,2,,,,,,,,,,
940 110012305898,w1620,940 110012567023,2512,No Shade,1,4,7,2,,1,5,,1,,13,25,14,6,5,5,8,11,4,3,9,8,2,1,15,1,2,3,5,6,10,5,1,1,2,8,28,21,4,3,1,3,5,19,5,38,6,6,21,7,19,2,1,4,5,6,8,7,10,4,7,22,8,8,4,10,15,25,4,12,3,5,21,32,15,6,3,10,7,14,10,10,5,4,13,8,7,9,5,22,20,13,2,6,11,18,43,5,14,14,11,34,6,20,4,12,7,17,29,4,9,12,7,18,17,6,9,9,5,,,,,,,,,,
940 110012305898,w1620,940 110012566899,Y488,No Shade,1,5,2,3,4,,11,,3,3,5,,1,6,1,22,16,1,1,6,3,3,,3,3,1,2,2,,3,3,2,4,12,3,1,6,2,,9,2,4,5,,5,2,1,3,9,,12,3,,3,1,6,1,,7,5,3,24,14,15,1,4,10,14,9,9,1,6,3,12,3,5,11,41,5,28,11,,8,21,32,3,4,1,,6,1,1,9,18,2,13,16,2,1,2,6,4,2,2,10,4,2,,8,1,5,31,8,2,4,7,1,3,11,,,,,,,,,,
940 110012305898,w1620,940 110006720451,2584,No Shade,,11,16,3,2,,1,5,11,2,2,18,1,12,2,3,6,4,,3,7,4,4,1,3,2,6,37,6,3,7,8,7,4,5,,11,13,5,16,2,5,,8,6,5,3,26,10,,5,6,4,3,11,,6,10,4,8,4,9,15,3,6,4,4,9,10,12,11,2,3,14,10,3,11,25,4,26,42,2,6,2,7,3,13,13,4,4,2,4,7,8,5,1,1,10,24,13,6,7,2,16,7,8,14,14,4,7,7,5,2,,,,,,,,,,,,,,,,
940 110012305898,w1620,940 110012566754,w9283,No Shade,,3,8,6,,,2,7,7,1,6,6,14,3,4,10,,2,4,9,,2,1,,1,1,2,7,5,3,15,4,3,3,3,18,9,3,6,1,2,9,16,1,2,5,1,,16,15,6,5,2,1,2,12,11,4,3,2,1,8,17,4,4,24,6,6,5,6,7,2,4,4,2,8,1,1,,22,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940 110012305898,w1620,940 110012553844,w192051,No Shade,,10,3,3,2,25,4,2,1,3,,7,1,8,9,7,,3,13,5,11,5,1,2,9,2,2,1,8,8,6,5,11,1,,1,29,3,9,5,6,17,6,6,6,2,3,9,21,5,29,3,4,7,8,5,11,3,4,5,61,3,12,14,6,15,6,10,,13,6,2,3,1,3,1,1,6,15,43,8,13,6,8,6,9,4,4,7,7,42,27,14,7,,7,15,10,12,9,10,12,12,9,6,4,11,20,13,4,6,25,7,5,34,5,9,1,,,,,,,,,,,
940 110012305898,w1620,940 110012554559,2429,No Shade,1,4,8,5,2,2,2,2,5,10,,6,2,3,4,2,3,9,2,2,14,7,,1,3,4,7,4,1,4,15,5,8,2,11,3,7,4,5,19,3,11,5,1,15,6,2,20,18,8,8,32,17,2,6,2,8,7,9,3,8,7,5,3,2,6,14,5,2,2,4,12,2,9,1,5,1,9,46,11,17,2,7,1,1,4,6,4,12,2,7,4,1,10,17,8,5,7,1,4,13,,8,2,6,1,5,2,2,6,11,4,2,2,,7,8,11,1,,,,,,,,,,
940 110012305898,w1620,940 110009421856,w192145,No Shade,,4,5,7,2,3,2,3,5,2,7,9,,1,12,5,4,4,5,2,3,1,2,,12,5,12,9,15,22,8,8,4,,6,1,2,7,2,15,1,,10,9,3,6,3,5,4,18,5,7,10,17,3,1,9,17,2,2,7,6,32,45,4,3,23,9,2,7,6,3,1,4,9,1,,10,3,7,5,4,7,2,2,1,5,9,11,10,16,8,5,6,2,4,5,4,6,10,21,16,18,7,4,2,9,4,17,,8,1,7,2,47,29,3,37,,,,,,,,,,,
940 110012305898,w1620,940 110009539365,2988,No Shade,,4,11,8,,27,8,2,3,4,1,5,9,1,13,5,,4,33,3,2,4,8,,7,10,4,12,3,1,15,2,6,3,7,3,9,6,11,10,23,8,8,52,31,3,,2,26,9,3,7,1,7,1,13,5,18,9,5,5,3,3,8,10,19,5,3,34,11,12,2,2,,2,13,,7,8,2,3,40,8,13,4,5,11,22,8,8,3,8,14,10,4,11,8,6,3,6,25,30,4,9,4,9,3,1,7,8,12,,8,2,7,8,5,4,5,,,,,,,,,,
940 110012305898,w1620,940 110009540821,2542,No Shade,1,5,1,8,4,,8,5,20,3,1,11,,3,7,9,4,5,17,,5,11,7,1,,4,7,3,1,,1,10,9,2,2,7,1,9,11,3,,3,,9,12,13,3,5,,1,1,12,5,2,11,,5,10,6,3,18,,33,3,2,3,7,1,2,4,6,1,,2,10,3,2,8,1,3,7,12,13,5,5,,6,1,,4,5,2,7,8,1,2,14,6,4,11,16,3,,6,4,15,16,,,7,13,2,5,4,1,6,,,,,,,,,,,,,
940 110012305898,w1620,940 110009422827,2450,No Shade,,4,3,14,2,18,4,6,4,9,1,4,6,1,6,5,2,3,5,10,5,20,4,1,2,2,4,2,4,7,27,14,7,1,20,3,9,7,14,,1,14,,2,16,2,1,9,,7,10,9,2,18,2,1,5,21,6,6,14,5,5,7,2,15,12,5,4,6,6,3,2,9,8,1,,12,2,8,6,3,10,,6,10,6,4,3,2,2,5,2,4,2,7,7,4,6,8,4,3,1,6,10,12,20,8,4,9,3,1,7,25,,8,3,2,8,,,,,,,,,,
940 110012305898,w1620,940 110006544572,2617,No Shade,1,5,4,3,3,,9,5,1,4,2,10,13,1,1,4,5,,,2,15,7,3,,,8,4,2,4,1,8,7,15,2,1,3,25,10,9,2,7,9,10,9,7,13,2,6,12,15,4,10,29,,11,22,3,3,1,11,31,15,6,13,10,6,7,3,,7,5,7,10,4,7,16,7,8,1,3,8,25,2,,9,1,5,7,18,5,10,,1,5,5,9,6,3,9,6,3,4,1,4,6,5,11,3,1,8,13,2,32,2,,2,23,27,1,,,,,,,,,,
940 110012305898,w1620,940 110009540303,Y1115,No Shade,,3,2,1,4,6,14,7,11,11,,1,1,3,1,2,6,12,14,7,3,9,1,22,5,11,5,2,7,12,36,57,4,16,19,1,5,6,3,1,12,5,7,5,5,,7,10,10,2,7,11,7,,5,2,19,31,5,12,1,17,37,45,3,6,7,19,8,9,8,15,9,3,11,2,1,13,22,21,7,9,22,14,21,8,11,3,6,11,20,12,2,7,14,11,1,6,12,8,4,21,8,11,4,4,8,17,36,6,11,3,6,8,33,14,3,2,4,,,,,,,,,,
940 110012305898,w1620,940 110012566852,2896,No Shade,,3,14,6,5,,1,1,14,11,2,1,23,,8,7,33,36,18,2,5,3,,4,12,,2,4,3,9,15,9,10,3,8,1,3,5,6,7,1,5,2,8,3,10,2,4,,5,4,15,15,6,6,2,4,17,8,6,26,6,18,,73,15,6,2,14,6,7,1,4,6,6,5,,3,6,4,11,2,4,,15,1,12,4,4,32,12,12,4,9,3,4,4,6,8,6,10,8,4,1,7,3,2,28,4,5,18,12,9,14,31,5,3,1,13,,,,,,,,,,
940 110012305898,w1620,940 110009539590,2471,No Shade,1,53,11,17,11,,13,8,5,7,7,4,,2,4,9,1,1,1,3,5,11,5,6,4,13,6,4,3,15,2,7,3,6,3,5,1,3,12,12,2,11,19,2,7,10,,3,1,3,2,8,9,39,9,13,4,2,7,8,,4,4,1,4,10,3,13,21,12,3,6,,21,6,5,2,4,12,5,36,6,10,8,6,11,14,5,4,1,2,2,3,4,4,12,5,10,9,3,6,1,6,3,6,4,13,6,5,9,7,6,6,,,7,7,71,2,,,,,,,,,,
940 110012305898,w1620,940 110006543923,2035,No Shade,,4,5,9,2,3,4,3,10,7,4,9,6,25,5,5,9,10,,4,37,13,18,2,1,4,6,5,5,2,6,9,3,7,8,,7,7,13,5,17,5,8,13,3,16,32,6,8,10,24,13,8,6,,3,14,13,21,44,3,9,68,9,7,5,14,5,9,11,2,4,1,1,21,,10,5,1,4,6,8,8,,,9,8,3,12,8,6,5,2,7,9,1,1,5,5,23,4,8,5,11,19,5,5,2,1,7,4,3,6,,,21,5,64,1,,,,,,,,,,
940 110012305898,w1620,940 110012565605,w192212,No Shade,,9,5,4,1,,2,4,2,2,2,4,17,3,11,10,,6,24,7,4,23,6,3,1,14,13,12,7,10,10,5,20,17,6,,,3,20,5,5,13,2,8,3,7,6,,7,3,4,10,29,3,14,7,10,17,12,1,5,7,6,7,13,9,11,12,3,6,16,6,8,40,6,5,1,4,4,7,4,3,6,9,8,4,29,19,18,9,3,7,,3,23,12,10,8,13,4,11,5,14,18,10,10,11,2,19,3,4,3,1,11,7,7,3,,,,,,,,,,,,
940 110012305898,w1620,940 110009538728,2611,No Shade,,9,16,4,5,,1,1,5,1,4,7,1,1,7,9,3,4,1,2,6,2,13,1,3,2,2,3,6,6,4,7,3,9,5,7,1,5,2,,3,8,25,6,16,10,20,21,,2,9,9,25,15,12,4,17,5,6,3,2,7,8,4,8,9,33,9,27,9,2,1,11,53,25,12,24,22,3,6,18,12,14,1,15,25,7,7,13,4,5,7,3,10,,15,6,,9,10,5,11,3,9,7,2,19,1,3,2,9,3,5,5,,2,5,11,1,,,,,,,,,,
940 110012305898,w1620,940 110009539538,3745,No Shade,,4,11,7,4,2,8,4,5,4,6,8,3,17,4,5,4,9,6,9,2,7,1,1,5,18,4,6,7,3,2,8,7,18,7,,21,3,4,24,4,3,29,26,1,9,1,11,2,11,9,7,8,8,3,2,18,37,3,11,1,9,7,4,7,6,3,7,32,7,14,3,10,13,8,17,1,6,7,8,15,4,8,2,2,5,8,8,5,8,13,1,3,11,10,25,3,3,3,6,5,22,11,1,5,5,5,4,7,10,3,52,5,2,1,4,12,30,1,,,,,,,,,,
940 110012305898,w1620,940 110006719959,2946,No Shade,,3,4,5,8,1,10,,,10,10,9,12,32,21,28,107,1,15,9,1,2,10,1,,4,17,7,3,3,,9,7,11,3,3,,3,10,6,19,15,6,9,11,9,4,3,,8,2,10,13,13,13,2,6,7,16,5,1,3,9,7,5,1,2,5,3,10,2,35,6,2,3,6,2,6,30,16,11,6,5,1,,7,5,16,10,19,2,7,5,11,11,12,1,9,19,13,6,1,7,5,16,7,23,5,,1,11,1,2,,,,,,,,,,,,,,,,
940 110012305898,w1620,940 110009538594,2576,No Shade,,3,13,4,3,2,10,6,4,3,4,11,2,3,15,1,2,8,5,4,13,1,5,11,1,6,2,4,1,14,2,2,7,4,5,,13,13,2,6,3,8,6,9,5,12,24,5,7,9,16,13,,6,6,8,2,6,5,4,5,6,8,4,4,9,2,12,2,5,19,32,3,4,5,2,5,6,36,16,5,16,11,2,4,23,6,4,11,1,5,8,8,7,3,13,4,3,6,5,3,2,8,6,2,8,3,,,9,3,1,,,,,,,,,,,,,,,,,
940 110012305898,w1620,940 110006720550,2525,No Shade,,13,12,13,3,,,7,12,13,2,9,1,1,4,3,3,2,7,3,4,19,1,2,,3,3,,8,2,7,2,6,11,6,1,,3,9,8,4,1,4,5,6,13,2,5,,3,4,8,10,11,5,12,6,32,13,7,,,26,10,9,5,26,9,9,6,7,1,6,1,22,4,5,14,,3,11,14,11,5,,2,3,48,23,10,2,3,5,20,6,4,4,2,7,15,9,3,1,5,13,21,5,18,,4,2,2,9,16,1,7,1,,,,,,,,,,,,
940 110012305898,w1620,940 110006720713,2519,No Shade,,9,9,6,2,5,6,2,8,4,2,2,23,21,14,6,3,23,8,3,7,10,2,4,7,4,5,10,8,8,8,4,6,3,1,14,5,20,13,7,4,3,2,,14,5,10,3,3,15,15,2,6,3,3,3,14,2,12,1,4,3,8,4,17,3,3,9,12,6,10,27,7,8,7,8,7,18,19,4,2,12,9,28,11,1,8,2,13,12,1,1,2,,7,4,9,10,3,4,6,14,14,4,7,1,4,1,9,13,6,2,8,57,12,12,30,2,1,,,,,,,,,,
940 110012305898,w1620,940 110009540288,2406,No Shade,,10,6,4,6,,2,,6,5,1,2,13,,4,8,1,,3,1,1,8,2,,4,2,2,12,1,6,2,11,3,4,1,3,9,5,1,11,2,15,,1,7,6,3,3,1,2,9,9,4,5,12,29,4,1,4,4,4,7,5,2,,4,1,,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940 110012305898,w1620,940 110012567072,2952,No Shade,,3,,,1,,1,5,2,7,1,,23,1,9,5,2,8,15,6,4,3,1,3,3,4,10,7,2,7,2,4,5,4,4,,6,2,6,,3,5,9,23,3,2,3,4,1,5,12,29,83,41,8,4,10,5,9,11,28,3,4,6,1,4,13,1,5,15,6,3,7,8,4,2,2,9,9,2,7,8,13,8,5,7,1,9,4,6,16,46,3,12,5,5,9,7,5,3,11,12,5,3,1,2,3,5,7,42,8,7,3,4,18,4,9,10,2,,,,,,,,,,
940 110012305898,w1620,940 110006544542,3735,No Shade,1,10,5,3,7,36,5,5,6,3,3,11,8,5,5,4,3,7,12,11,10,1,5,10,10,14,4,7,4,5,2,3,6,15,2,,21,10,15,1,9,6,1,1,3,10,6,3,12,5,11,8,9,2,5,,6,21,6,7,20,2,9,4,1,4,5,4,3,10,5,4,9,2,7,9,,14,9,13,6,4,4,19,7,3,4,4,8,11,6,2,4,6,2,8,1,11,14,7,4,7,11,5,2,8,15,6,27,12,14,5,9,14,8,14,1,2,11,,,,,,,,,,
940 110012305898,w1620,940 110009539082,3798,No Shade,,9,13,9,3,4,1,6,5,6,5,5,14,22,10,18,6,15,24,4,10,28,28,25,1,2,3,18,2,2,2,12,7,19,8,6,,6,25,5,4,12,19,2,2,4,11,16,,4,7,2,7,6,6,2,4,8,1,4,1,3,3,3,7,13,4,6,13,5,9,11,,13,7,20,14,13,8,28,4,5,6,26,31,2,7,17,8,24,5,1,7,4,6,8,2,4,3,9,9,8,24,11,4,2,2,3,4,13,14,8,11,21,,5,2,,,,,,,,,,,,
940 110012305898,w1620,940 110006544245,2929,No Shade,,4,6,4,3,16,7,1,30,10,7,,6,15,7,4,55,10,17,2,3,4,6,33,5,7,6,2,2,1,10,2,8,,2,,2,6,6,4,6,8,4,3,10,11,5,6,10,3,12,22,13,13,6,4,16,4,3,10,,7,4,5,10,2,6,5,2,11,3,4,4,11,8,10,2,2,14,6,7,9,21,3,7,4,8,1,1,4,7,8,20,5,9,11,2,6,10,16,6,17,3,9,10,2,3,13,,8,25,15,4,51,2,3,30,14,5,,,,,,,,,,
940 110012305898,w1620,940 110009539736,y1110,No Shade,,6,3,1,3,2,1,8,9,6,,4,9,5,13,7,,5,5,9,3,5,2,20,11,9,1,4,8,6,4,2,12,21,13,,9,7,1,4,8,2,5,13,4,10,5,13,31,9,8,2,7,3,2,23,12,3,6,9,4,8,1,6,4,3,13,3,1,11,6,1,18,1,9,4,10,6,12,16,8,14,6,11,11,29,7,5,17,20,12,2,5,13,6,12,12,11,3,6,6,20,34,25,26,3,3,16,29,21,6,4,10,24,5,13,5,3,9,,,,,,,,,,
