Ram_EID,Ram_coller,Ewe_EID,Ewe_coller,Plot,14/2/2023,15/2/2023,16/2/2023,17/2/2023,18/2/2023,19/2/2023,20/2/2023,21/2/2023,22/2/2023,23/2/2023,24/2/2023,25/2/2023,26/2/2023,27/2/2023,28/2/2023,1/3/2023,2/3/2023,3/3/2023,4/3/2023,5/3/2023,6/3/2023,7/3/2023
940 110012305651,y472,940 110009539582,w240,High Shade,15,27,91,36,45,50,28,108,25,34,92,24,25,41,66,54,53,31,51,63,,
940 110012305651,y472,940 110009422297,3747,High Shade,12,78,175,29,40,31,23,43,63,75,31,40,75,30,42,45,56,51,63,53,,
940 110012305651,y472,940 110009538743,w192423,High Shade,11,37,20,20,23,23,25,59,62,55,28,41,17,64,47,46,28,39,44,41,,
940 110012305651,y472,940 110009422307,w1629,High Shade,8,38,40,22,27,21,21,25,42,80,66,88,50,43,23,45,25,48,40,38,,
940 110012305651,y472,940 110012566916,w1581,High Shade,16,29,19,19,46,43,24,39,47,48,62,36,38,35,88,46,61,40,57,50,,
940 110012305651,y472,940 110012568096,2643,High Shade,9,42,48,38,38,46,50,46,65,62,31,28,19,24,61,50,26,50,29,98,,
940 110012305651,y472,940 110012566714,o75,High Shade,8,27,69,29,37,25,36,44,44,49,99,35,40,134,43,44,32,34,46,62,,
940 110012305651,y472,940 110009538720,2922,High Shade,18,59,32,37,33,33,23,45,46,90,30,49,59,38,125,57,26,27,48,130,,
940 110012305651,y472,940 110012566936,w192195,High Shade,12,25,27,16,21,48,28,17,24,43,47,45,102,98,56,66,58,49,49,32,,
940 110012305651,y472,940 110009541375,2416,High Shade,8,40,33,37,57,61,11,43,71,61,54,50,71,66,24,49,21,49,44,40,,
940 110012305651,y472,940 110006544833,2529,High Shade,,,,,,,,1,3,7,12,55,14,25,38,18,24,31,50,39,,
940 110012305651,y472,940 110006544528,2697,High Shade,10,30,24,38,84,31,22,61,44,35,88,52,58,28,76,36,64,26,59,1,,
940 110012305651,y472,940 110009539765,2653,High Shade,7,38,53,62,27,38,28,41,35,33,37,142,68,31,61,43,27,38,32,46,,
940 110012305651,y472,940 110009539995,2464,High Shade,18,34,37,31,56,56,82,65,81,38,61,57,62,47,44,57,39,44,49,83,,
940 110012305651,y472,940 110009539443,2334,High Shade,19,25,21,35,34,13,38,35,49,44,58,67,63,54,46,40,20,32,38,68,,
940 110012305651,y472,940 110012554299,w192350,High Shade,14,37,18,21,43,73,22,17,34,23,64,5,12,18,3,,,,,,,
940 110012305651,y472,940 110012554672,w765,High Shade,10,38,66,53,17,24,24,128,59,43,40,21,36,51,29,53,29,28,36,50,,
940 110012305651,y472,940 110012564961,w192312,High Shade,15,33,18,51,46,39,30,35,67,92,239,60,33,29,48,49,38,48,51,72,,
940 110012305651,y472,940 110009540062,w192314,High Shade,23,41,31,66,53,26,18,108,58,39,60,49,30,54,56,38,35,70,26,77,,
940 110012305651,y472,940 110009540994,W9510,High Shade,26,45,34,39,35,42,24,48,53,47,51,52,38,56,52,55,30,67,61,132,,
940 110012305651,y472,940 110012554266,2472,High Shade,12,48,34,47,43,61,39,29,56,61,45,60,71,33,114,65,48,62,63,96,,
940 110012305651,y472,940 110009423176,2544,High Shade,16,77,22,36,78,33,40,61,66,97,68,92,39,24,36,38,67,50,83,101,,
940 110012305651,y472,940 110009539963,w192206,High Shade,12,29,18,54,27,54,26,40,35,17,31,42,54,36,40,83,66,43,38,118,,
940 110012305651,y472,940 110009422880,y1060,High Shade,18,53,16,22,16,56,34,26,65,25,33,37,33,36,38,59,46,40,67,43,,
940 110012305651,y472,940 110006544421,2926,High Shade,10,35,37,34,42,42,21,27,56,91,69,78,95,63,28,65,19,94,50,68,,
940 110012305651,y472,940 110012553652,2997,High Shade,12,66,30,26,27,30,37,95,45,53,54,33,43,38,17,42,38,56,40,92,,
940 110012305651,y472,940 110012565425,w192249,High Shade,10,19,29,47,31,28,43,29,78,221,25,37,49,68,37,76,27,63,53,85,,
940 110012305651,y472,940 110006544462,2394,High Shade,4,43,30,29,39,47,20,34,26,102,84,103,38,37,73,39,30,46,53,79,,
940 110012305651,y472,940 110009541457,w1797,High Shade,,,,,,,,4,10,13,15,38,53,25,47,49,96,67,49,28,,
940 110012305651,y472,940 110012567798,w1630,High Shade,16,25,53,66,51,31,30,50,64,67,57,61,111,34,50,49,34,37,56,113,,
940 110012305651,y472,940 110009541350,w9333,High Shade,10,41,24,63,36,51,35,75,81,36,43,88,44,76,50,23,39,31,78,87,,
940 110012305651,y472,940 110006544843,2566,High Shade,12,19,44,34,35,49,37,66,56,42,28,29,30,45,42,24,37,45,76,101,,
940 110012305651,y472,940 110009423145,2685,High Shade,11,44,45,27,67,38,43,76,68,62,19,49,72,29,25,28,36,18,37,113,,
940 110012305651,y472,940 110009540879,2645,High Shade,9,57,46,32,69,91,43,53,138,64,60,91,25,28,76,28,37,35,57,105,,
940 110012305651,y472,940 110006544430,2665,High Shade,22,47,43,44,57,21,55,50,46,66,54,39,48,33,72,38,55,62,53,139,,
940 110012305651,y472,940 110012565868,2333,High Shade,16,40,44,21,57,42,22,36,31,74,67,30,38,47,25,42,50,51,42,85,,
940 110012305651,y472,940 110012566390,2031,High Shade,14,40,56,35,34,45,41,17,61,36,45,41,84,22,37,38,42,44,61,67,,
940 110012305651,y472,940 110006718446,2558,High Shade,20,36,34,19,34,24,34,45,50,50,33,60,89,39,73,92,56,43,53,89,,
940 110012305651,y472,940 110009423265,2943,High Shade,12,33,41,46,68,24,46,23,35,27,46,65,24,36,16,66,18,71,21,67,,
940 110012305651,y472,940 110009421860,2892,High Shade,14,41,80,60,53,53,31,48,65,48,39,81,63,27,27,57,39,36,45,77,,
940 110012305651,y472,940 110009423023,W961,High Shade,17,44,63,36,33,26,57,64,69,50,43,47,39,32,38,57,74,75,43,84,,
940 110012305651,y472,940 110012567653,2900,High Shade,11,35,43,65,48,33,22,23,51,52,28,52,47,35,52,28,38,42,41,79,,
940 110012305651,y472,940 110009530579,w299,High Shade,9,50,24,46,59,102,34,29,31,40,34,46,79,33,16,48,12,41,79,80,,
940 110012305651,y472,940 110009540131,2473,High Shade,13,44,50,33,41,31,21,47,44,72,37,62,52,150,59,44,21,29,34,96,,
940 110012305651,y472,940 110009540606,2686,High Shade,23,35,47,48,38,38,37,35,46,49,48,54,48,37,46,61,40,47,40,88,,
940 110012305651,y472,940 110009538624,w9535,High Shade,25,37,43,68,44,71,23,44,44,65,43,37,57,222,25,49,63,41,67,97,,
940 110012305651,y472,940 110009541455,w192415,High Shade,13,41,40,21,23,26,28,67,38,70,23,54,35,43,37,51,164,36,38,32,,
940 110012305651,y472,940 110006544521,w9277,High Shade,13,39,33,63,40,18,48,43,58,64,87,72,56,52,54,84,31,59,45,102,,
940 110012305651,y472,940 110006720119,w192239,High Shade,12,53,25,75,38,32,40,31,26,117,81,34,47,38,44,28,63,31,57,40,,
940 110012305651,y472,940 110006720358,2709,High Shade,9,64,32,33,25,41,31,37,46,81,60,43,52,59,61,60,35,36,37,98,,
940 110012305651,y472,940 110009541731,w1724,High Shade,19,42,57,55,47,54,40,72,149,59,56,71,85,74,36,25,29,74,29,102,,
940 110012305651,y472,940 110006543802,2626,High Shade,14,42,48,28,47,28,34,37,90,209,38,45,67,43,25,48,39,78,79,99,,
940 110012305651,y472,940 110009423155,2391,High Shade,39,50,47,21,2,,,6,14,13,11,18,19,45,91,68,42,46,39,72,,
940 110012305651,y472,940 110009539292,2958,High Shade,11,32,52,69,44,24,63,75,48,62,70,47,47,12,75,32,35,35,50,128,,
940 110012305651,y472,940 110009540641,w192154,High Shade,20,30,38,63,37,23,52,39,32,30,57,36,25,63,86,42,33,28,52,63,,
940 110012305651,y472,940 110012567794,w192384,High Shade,5,28,47,49,13,28,27,26,45,35,16,9,13,11,7,,,,,,,
940 110012305651,y472,940 110009538722,2488,High Shade,7,45,34,45,29,24,44,74,80,69,48,45,32,26,13,,,,,,,
940 110012305651,y472,940 110012565433,y1046,High Shade,,,,,,,,1,5,15,9,21,63,69,29,41,38,81,59,41,,
940 110007343296,w897,940 110012567497,2924,No Shade,13,29,53,45,58,59,38,82,52,138,23,20,44,29,25,28,37,50,22,66,,
940 110007343296,w897,940 110009539003,3750,No Shade,,,,,,,,33,57,1,17,19,30,44,38,29,32,35,47,50,57,
940 110007343296,w897,940 110016191551,w192406,No Shade,29,15,21,62,34,51,51,31,46,24,17,24,28,16,,,,,,,,
940 110007343296,w897,940 110012553757,w736,No Shade,11,19,34,30,30,43,59,57,39,39,75,37,47,30,65,138,68,69,21,44,39,
940 110007343296,w897,940 110012554425,2495,No Shade,13,15,29,29,39,62,33,45,80,81,24,26,46,56,50,37,339,90,23,29,21,
940 110007343296,w897,940 110009423185,2340,No Shade,18,46,27,41,18,54,54,87,52,30,47,28,28,36,34,30,31,20,67,45,94,
940 110007343296,w897,940 110009538934,W1747,No Shade,10,34,26,32,27,67,31,41,29,39,25,29,30,67,47,49,21,60,266,35,98,
940 110007343296,w897,940 110009421854,3729,No Shade,13,14,16,60,47,88,54,24,26,27,302,51,49,37,48,66,44,36,77,52,30,
940 110007343296,w897,940 110006544051,2328,No Shade,10,43,56,49,35,48,77,80,79,23,48,63,42,162,60,35,52,98,55,51,154,
940 110007343296,w897,940 110009539429,MU2938,No Shade,12,138,51,25,43,46,44,59,43,39,54,29,43,48,57,50,40,48,73,81,68,
940 110007343296,w897,940 110012566807,2696,No Shade,14,22,11,32,27,33,77,143,169,35,46,24,41,71,97,49,39,57,16,92,75,
940 110007343296,w897,940 110009422847,2024,No Shade,18,21,22,23,58,41,120,82,20,38,59,61,74,62,37,60,40,53,34,61,194,
940 110007343296,w897,940 110009539378,2378,No Shade,10,36,24,32,35,65,48,52,48,133,116,28,26,102,70,42,59,32,52,146,74,
940 110007343296,w897,940 110009539487,Y1093,No Shade,14,29,62,30,16,83,46,29,28,92,38,24,60,62,34,36,34,153,61,67,10,
940 110007343296,w897,940 110012567833,2539,No Shade,46,26,36,48,55,68,76,55,68,60,41,54,36,78,113,59,29,55,86,97,103,
940 110007343296,w897,940 110009541265,W192251,No Shade,13,333,40,47,48,52,23,45,18,52,31,57,58,38,28,42,61,45,23,45,20,
940 110007343296,w897,940 110009541522,2438,No Shade,19,37,22,30,21,74,50,85,54,24,45,33,42,39,48,54,29,44,90,35,37,
940 110007343296,w897,940 110009539138,2524,No Shade,15,30,20,37,24,205,310,47,38,78,38,21,31,77,26,33,36,65,25,59,,
940 110007343296,w897,940 110006544506,2032,No Shade,18,23,84,56,24,65,56,73,40,35,38,76,53,50,43,33,33,46,23,58,20,
940 110007343296,w897,940 110006543857,2462,No Shade,10,66,27,71,41,63,40,51,26,431,271,52,22,64,44,53,41,29,88,109,52,
940 110007343296,w897,940 110012553575,W1506,No Shade,12,11,21,40,53,63,53,49,20,50,37,50,56,53,41,25,21,34,26,42,60,
940 110007343296,w897,940 110012567028,W1556,No Shade,12,22,28,78,32,37,291,54,27,44,31,46,72,64,72,43,69,57,37,54,4,
940 110007343296,w897,940 110006544658,2509,No Shade,17,34,26,31,58,42,115,50,39,94,57,67,47,50,39,43,32,60,41,36,45,
940 110007343296,w897,940 110006720136,2381,No Shade,11,20,28,37,43,25,43,47,19,31,28,4,4,,,,,,,,,
940 110007343296,w897,940 110009541760,2310,No Shade,18,39,29,32,306,51,52,47,40,72,77,77,62,44,44,42,46,52,68,53,,
940 110007343296,w897,940 110009538415,w192410,No Shade,18,28,28,35,20,61,30,27,20,32,22,19,40,97,74,45,42,46,33,76,,
940 110007343296,w897,940 110009540874,2637,No Shade,9,17,55,231,43,51,67,45,35,42,62,38,70,54,57,59,61,60,47,103,8,
940 110007343296,w897,940 110012568263,2994,No Shade,7,23,45,50,33,49,67,38,37,26,37,27,30,610,147,99,49,37,71,94,78,
940 110007343296,w897,940 110009540403,2353,No Shade,6,19,31,26,62,52,57,34,57,25,43,33,53,63,44,18,85,41,28,56,46,
940 110007343296,w897,940 110009539785,2493,No Shade,10,44,39,59,61,101,57,24,48,52,50,49,57,61,87,37,65,65,71,3,,
940 110007343296,w897,940 110006720740,2977,No Shade,13,30,45,101,24,49,34,21,35,26,21,34,52,33,88,38,67,39,50,53,30,
940 110007343296,w897,940 110009421855,2572,No Shade,8,32,15,23,49,30,59,49,44,38,10,3,5,4,2,,,,,,,
940 110007343296,w897,940 110012566988,2561,No Shade,15,14,68,46,47,88,61,80,41,21,25,151,317,86,51,41,31,42,83,83,41,
940 110007343296,w897,940 110009539086,w1547,No Shade,6,22,33,52,99,78,37,29,48,39,43,15,45,32,40,22,34,31,59,30,47,
940 110007343296,w897,940 110009539979,W192358,No Shade,3,30,211,56,42,47,57,53,78,42,45,25,89,43,74,66,44,89,43,74,2,
940 110007343296,w897,940 110006543881,2439,No Shade,20,40,39,99,59,97,52,44,45,48,39,30,62,41,47,56,29,65,52,271,177,
940 110007343296,w897,940 110006544025,2545,No Shade,11,9,47,56,25,60,29,28,32,11,68,53,93,127,26,62,56,53,44,,,
940 110007343296,w897,940 110009540770,2427,No Shade,10,17,26,21,23,64,55,29,118,38,28,35,48,49,26,24,35,44,26,34,17,
940 110007343296,w897,940 110009423262,W192426,No Shade,42,51,17,23,26,40,33,31,19,32,26,24,18,44,34,34,45,77,86,41,33,
940 110007343296,w897,940 110009538664,2437,No Shade,13,12,17,50,28,44,64,45,24,50,46,103,231,32,23,28,24,44,28,30,78,
940 110007343296,w897,940 110009539860,2622,No Shade,9,18,16,54,42,40,28,31,15,31,32,4,4,18,4,,,,,,,
940 110007343296,w897,940 110009540374,2928,No Shade,7,45,27,31,34,53,33,69,19,102,51,36,36,33,26,318,32,26,15,67,107,
940 110007343296,w897,940 110009421996,w9562,No Shade,3,49,22,33,43,70,35,16,36,53,85,52,285,65,23,25,27,26,64,36,36,
940 110007343296,w897,940 110012567561,2445,No Shade,10,14,38,73,82,49,62,72,43,28,25,29,74,51,110,40,60,46,37,49,73,
940 110007343296,w897,940 110009538672,2549,No Shade,15,33,28,22,43,52,56,79,25,317,47,16,15,,,,,,,,,
940 110007343296,w897,940 110009539709,W192166,No Shade,11,21,36,241,27,40,53,84,60,53,15,20,40,61,22,38,34,46,39,46,4,
940 110007343296,w897,940 110006544091,w192160,No Shade,9,22,37,38,43,38,60,51,49,87,62,41,93,24,286,74,30,47,44,53,67,
940 110007343296,w897,940 110012554697,2329,No Shade,4,18,20,31,49,59,27,230,93,40,21,13,62,37,90,47,61,52,20,70,55,
940 110007343296,w897,940 110009539914,2604,No Shade,6,29,39,87,81,52,66,56,41,49,52,161,194,69,25,54,50,45,36,32,45,
940 110007343296,w897,940 110006544309,2423,No Shade,17,96,67,63,44,47,37,34,23,39,72,27,49,61,49,54,56,36,78,69,55,
940 110007343296,w897,940 110012565400,W300,No Shade,12,34,13,80,40,80,43,35,10,31,14,79,27,39,,,,,,,,
940 110007343296,w897,940 110012554430,2530,No Shade,9,56,27,67,29,72,88,60,30,32,38,25,42,28,60,33,397,104,53,72,33,
940 110007343296,w897,940 110009538497,2947,No Shade,25,28,51,25,44,97,69,40,17,41,26,33,28,13,50,40,27,37,39,44,40,
940 110007343296,w897,940 110009538382,O45,No Shade,17,18,30,52,49,51,48,53,20,46,47,93,158,53,37,60,67,53,68,59,6,
940 110007343296,w897,940 110006544980,2981,No Shade,17,58,20,63,13,37,71,68,72,27,107,48,38,50,28,36,31,31,28,47,45,
940 110007343296,w897,940 110009539504,2716,No Shade,7,25,28,55,15,67,59,37,611,199,59,36,21,27,30,39,66,28,48,28,,
940 110007343296,w897,940 110012565619,w797,No Shade,4,16,19,29,21,29,49,18,25,116,81,32,23,28,82,36,59,32,37,40,27,
940 110007343296,w897,940 110009422300,2962,No Shade,6,30,74,65,55,69,50,56,32,45,51,40,40,55,35,43,47,11,43,28,56,
940 110007343296,w897,940 110006544403,W1707,No Shade,4,25,14,29,8,62,34,40,19,42,51,48,63,42,69,46,58,51,84,31,105,
940 110007343296,w897,940 110006543939,W192556,No Shade,14,19,41,200,48,37,58,57,30,23,42,34,104,42,75,29,22,51,33,36,54,
940 110007343296,w897,940 110012567496,o21,No Shade,10,10,24,34,47,40,41,42,22,26,42,26,56,72,70,48,42,108,44,37,80,
940 110007343296,w897,940 110012554130,w192330,No Shade,11,22,20,64,78,52,36,25,26,31,45,50,27,61,46,32,27,22,17,31,,
940 110007343296,w897,940 110009423027,2635,No Shade,24,23,39,65,43,83,60,59,50,48,53,29,79,53,35,66,56,129,31,63,74,
940 110007343296,w897,940 110009539115,w232,No Shade,11,33,24,55,41,59,33,64,26,32,22,27,41,46,49,25,24,39,34,29,47,
940 110007343296,w897,940 110009423180,W1654,No Shade,32,22,33,113,47,99,46,40,201,53,43,50,57,106,33,67,79,42,44,123,12,
940 110007343296,w897,940 110012553725,2411,No Shade,19,21,51,56,75,39,39,57,26,44,26,32,32,27,70,22,61,117,22,49,54,
940 110007343296,w897,940 110009540172,w9561,No Shade,15,23,23,51,47,67,53,36,105,31,72,35,35,41,77,41,52,33,58,40,6,
940 110007343296,w897,940 110006544786,W9511,No Shade,14,34,43,46,49,86,74,119,34,69,40,23,47,66,39,39,34,66,42,66,39,
940 110007343296,w897,940 110012566693,2708,No Shade,9,34,53,49,59,49,64,29,22,105,42,38,27,64,43,96,183,86,51,76,109,
940 110007343296,w897,940 110009539447,w9281,No Shade,7,36,11,47,62,33,34,35,32,39,39,35,42,43,56,29,43,85,53,32,71,
940 110007343296,w897,940 110006718507,W192313,No Shade,35,38,80,66,61,123,102,38,49,46,93,66,42,25,16,34,36,30,80,74,79,
940 110007343296,w897,940 110009541144,W9559,No Shade,6,24,60,90,34,41,26,33,9,39,27,61,18,54,31,29,20,30,19,48,39,
940 110007343296,w897,940 110012565504,2466,No Shade,12,27,27,42,94,127,83,44,9,93,44,67,98,33,72,58,59,44,57,84,61,
940 110007343296,w897,940 110009423327,3738,No Shade,11,66,28,24,57,51,28,22,25,11,35,24,38,24,40,66,38,45,44,51,22,
940 110007343296,w897,940 110009422821,W1673,No Shade,12,18,23,38,77,35,76,65,55,28,49,26,35,48,21,53,30,20,45,16,83,
940 110007343296,w897,940 110009539831,2971,No Shade,17,18,11,41,20,55,88,39,36,46,57,108,380,94,42,65,40,61,52,23,64,
940 110007343296,w897,940 110012564878,w192408,No Shade,11,16,54,28,43,83,33,66,30,22,102,58,66,38,15,62,36,35,59,33,,
940 110007343296,w897,940 110012553565,3753,No Shade,5,28,47,41,57,67,87,40,74,50,80,39,54,62,73,39,47,30,31,127,19,
940 110007343296,w897,940 110009540104,w192057,No Shade,10,31,34,28,39,38,62,52,32,47,55,82,28,45,28,35,206,209,60,34,70,
940 110007343296,w897,940 110009538686,2482,No Shade,15,32,41,63,49,86,74,34,22,22,44,26,44,69,44,51,41,42,52,60,175,
940 110007343296,w897,940 110006720732,2673,No Shade,12,36,34,27,45,67,34,33,20,30,17,297,68,45,53,21,22,27,15,34,86,
940 110007343296,w897,940 110012565614,2945,No Shade,13,32,28,41,154,40,44,50,28,51,52,45,41,38,45,71,64,32,39,21,,
940 110007343296,w897,940 110009539482,W1619,No Shade,7,39,15,31,27,78,78,40,44,32,27,21,29,48,27,34,29,25,33,11,,
940 110007343296,w897,940 110009423168,Y457,No Shade,5,36,27,43,49,37,49,52,25,41,36,29,42,29,47,103,47,62,65,51,63,
940 110007343296,w897,940 110009541593,3767,No Shade,11,28,23,31,49,216,28,75,43,22,47,28,26,41,72,43,62,52,24,41,65,
940 110007343296,w897,940 110006544321,2597,No Shade,6,33,27,41,51,67,61,59,41,97,383,25,89,35,84,57,28,55,35,29,62,
940 110007343296,w897,940 110009538666,Y1064,No Shade,15,21,30,37,47,71,40,53,13,53,59,20,17,34,14,18,11,30,19,24,63,
940 110007343296,w897,940 110009540194,2930,No Shade,12,26,25,36,41,62,42,66,22,51,31,344,59,48,61,27,74,29,59,39,47,
940 110007343296,w897,940 110009539281,w192005,No Shade,11,16,34,25,32,50,24,46,31,28,12,216,60,45,54,50,20,91,34,32,62,
940 110007343296,w897,940 110009538618,w192356,No Shade,7,17,30,21,13,28,17,13,80,25,9,4,3,9,10,,,,,,,
940 110007343296,w897,940 110009539841,2548,No Shade,14,35,23,33,32,59,61,102,49,29,67,48,31,18,51,24,33,28,19,30,100,
940 110007343296,w897,940 110009539563,w192086,No Shade,10,12,26,55,44,70,76,34,17,36,47,70,33,27,49,58,31,36,48,62,42,
940 110007343296,w897,940 110006544577,2608,No Shade,11,39,36,43,27,44,81,121,162,33,41,42,69,68,44,37,50,56,35,108,64,
940 110007343296,w897,940 110012567577,W993,No Shade,18,13,41,38,56,62,65,64,49,42,36,32,32,52,288,60,50,30,20,32,47,
940 110007343296,w897,940 110009540716,2101,No Shade,12,23,25,44,139,61,74,22,26,39,69,43,47,36,25,46,49,26,41,38,42,
940 110007343296,w897,940 110012565516,Y1053,No Shade,8,35,35,63,21,58,31,21,34,53,27,37,22,82,26,18,32,42,23,61,49,
940 110007343296,w897,940 110009539060,W1612,No Shade,15,37,18,43,44,39,49,35,35,37,29,20,36,44,47,20,60,39,32,,,
940 110007343296,w897,940 110006720535,w192402,No Shade,13,32,17,27,22,66,32,33,57,39,97,47,37,35,23,33,45,20,36,51,62,
940 110007343296,w897,940 110012553572,2528,No Shade,5,12,81,103,62,46,39,25,32,77,39,26,32,79,83,55,43,56,33,73,50,
940 110007343296,w897,940 110009539817,2540,No Shade,13,21,21,75,68,87,34,55,45,231,175,19,45,39,59,29,50,26,51,91,47,
940 110007343296,w897,940 110006545066,9284,No Shade,16,25,31,65,46,54,49,52,93,29,45,44,30,96,72,37,31,71,56,65,122,
940 110007343296,w897,940 110009540984,W9513,No Shade,8,31,28,32,74,57,76,53,20,65,72,29,40,51,23,52,27,49,33,54,66,
940 110007343296,w897,940 110009540097,2707,No Shade,8,20,58,52,27,80,129,65,27,41,24,36,29,28,32,18,20,27,46,31,41,
940 110007343296,w897,940 110009538917,2342,No Shade,35,26,21,29,38,57,41,44,65,19,22,23,29,68,33,30,23,27,30,52,36,
940 110007343296,w897,940 110009539843,2388,No Shade,15,47,30,44,41,57,65,52,55,37,17,64,41,56,59,43,28,33,40,30,,
940 110007343296,w897,940 110009422875,2517,No Shade,11,15,66,25,46,38,46,86,7,20,39,49,25,30,16,24,30,34,67,183,43,
940 110007343296,w897,940 110009423261,3725,No Shade,,,,,,,,,5,11,38,25,23,43,30,25,54,27,26,16,30,
940 110007343296,w897,940 110009539369,W841,No Shade,16,33,18,23,36,79,79,234,44,48,84,41,39,43,55,67,58,61,40,120,55,
940 110007343296,w897,940 110012554069,W788,No Shade,16,26,51,60,54,84,57,51,220,108,49,65,40,20,17,25,46,80,32,36,44,
940 110007343296,w897,940 110006545070,2898,No Shade,14,47,30,49,45,49,57,61,17,49,53,59,98,45,37,56,19,108,33,25,53,
940 110007343296,w897,940 110012567070,W280,No Shade,14,18,30,59,43,35,50,36,36,50,21,38,68,242,156,36,27,37,77,65,46,
940 110007343296,w897,940 110012567032,w192236,No Shade,8,16,31,29,28,45,38,50,67,40,54,232,124,29,64,75,33,51,17,57,55,
940 110007343296,w897,940 110009423147,W229,No Shade,14,22,30,39,17,43,375,70,49,43,43,46,44,35,82,22,36,60,36,83,113,
940 110007343296,w897,940 110009540753,Y422,No Shade,7,16,12,14,50,34,65,10,40,52,19,17,33,30,23,14,29,37,21,11,,
940 110007343296,w897,940 110006720157,Y1074,No Shade,5,21,123,123,80,70,86,50,57,53,53,29,20,47,52,32,22,31,56,42,50,
940 110007343296,w897,940 110006544447,3720,No Shade,8,8,21,22,49,70,23,31,37,37,41,14,47,65,33,34,41,22,44,37,56,
940 110007343296,w897,940 110009539352,2677,No Shade,6,16,19,33,38,34,22,40,63,60,9,10,33,54,29,37,25,26,20,22,21,
940 110007343296,w897,940 110009540139,2695,No Shade,22,24,11,11,39,20,20,25,23,33,38,49,38,55,24,35,26,21,28,23,,
940 110007343296,w897,940 110009538976,2583,No Shade,17,40,30,52,52,34,68,35,21,74,23,18,26,,,,,,,,,
940 110007343296,w897,940 110009538609,Y1102,No Shade,8,32,200,26,59,75,57,34,28,32,37,37,58,24,30,39,31,44,51,27,94,
940 110007343296,w897,940 110009538631,2618,No Shade,25,30,24,56,50,67,50,68,30,35,50,53,50,23,26,26,22,59,20,44,18,
940 110007343296,w897,940 110009538648,2554,No Shade,5,170,40,42,24,82,53,54,24,35,36,25,26,43,27,37,36,27,44,37,31,
940 110007343296,w897,940 110006720825,2567,No Shade,22,38,26,48,85,55,45,60,42,47,30,21,84,63,35,40,52,42,33,44,113,
940 110007343296,w897,940 110012553817,W1771,No Shade,11,6,28,43,25,152,225,42,37,101,19,31,20,29,54,13,30,52,58,24,53,
940 110007343296,w897,940 110009540534,W765,No Shade,12,15,13,18,25,23,50,27,20,27,42,651,36,73,23,29,50,33,33,30,51,
940 110007343296,w897,940 110009538770,2318,No Shade,8,23,15,21,35,33,16,27,14,55,14,11,24,37,26,18,18,8,24,51,17,
940 110007343296,w897,940 110006544551,W192170,No Shade,16,27,46,80,41,28,32,35,15,35,38,41,36,33,31,22,25,19,29,37,8,
940 110007343296,w897,940 110009538656,w768,No Shade,6,15,46,35,22,50,25,79,3,2,1,,8,6,,1,3,,,,,
940 110007343296,w897,940 110009539773,2968,No Shade,9,25,46,43,39,57,77,72,37,61,23,20,27,64,84,47,37,31,26,29,31,
940 110007343296,w897,940 110009540395,Y452,No Shade,52,23,42,67,52,53,53,67,25,18,17,35,33,32,24,20,33,52,19,17,15,
940 110007343296,w897,940 110006543882,W293,No Shade,12,23,16,60,56,136,64,37,27,38,25,63,32,59,53,34,34,271,139,52,66,
940 110007343296,w897,940 110009538595,2672,No Shade,9,42,65,63,48,55,50,31,18,62,31,23,50,35,32,48,16,33,62,77,28,
940 110007343296,w897,940 110009541386,W1540,No Shade,5,14,32,43,66,64,25,35,35,89,64,77,40,49,28,73,20,27,27,22,43,
940 110007343296,w897,940 110009540814,2397,No Shade,11,15,49,32,52,61,57,55,33,223,41,30,51,43,20,27,37,26,30,14,46,
940 110007343296,w897,940 110009540871,W192301,No Shade,14,30,27,18,35,80,34,78,19,19,137,32,33,52,36,59,38,53,77,57,66,
940 110007343296,w897,940 110009539357,W192096,No Shade,8,22,32,60,22,70,41,169,172,32,32,32,36,51,26,42,19,48,43,37,79,
940 110007343296,w897,940 110012566859,2536,No Shade,11,12,23,35,55,65,23,275,644,56,32,60,55,23,53,54,49,26,57,40,79,
940 110007343296,w897,940 110006544371,2625,No Shade,17,23,48,60,24,101,52,55,67,25,48,47,73,46,265,23,59,38,27,60,49,
940 110007343296,w897,940 110009540453,3794,No Shade,15,16,22,41,27,58,60,47,22,41,23,52,38,46,33,16,22,17,62,67,5,
940 110007343296,w897,940 110009538339,Y464,No Shade,10,34,32,56,51,54,78,41,39,22,53,65,86,56,27,51,81,25,45,34,11,
940 110007343296,w897,940 110012553568,2401,No Shade,5,34,51,38,36,64,51,40,23,44,43,25,45,63,120,25,50,51,35,29,30,
940 110007343296,w897,940 110009538750,3715,No Shade,3,51,54,49,69,43,44,56,100,91,57,17,38,53,27,46,56,49,38,78,61,
940 110007343296,w897,940 110012565654,W9560,No Shade,5,26,64,33,33,85,38,29,46,46,32,18,71,34,29,48,30,26,33,12,23,
940 110007343296,w897,940 110012553813,2593,No Shade,18,22,14,26,18,31,26,28,28,42,10,3,3,2,5,,,,,,,
940 110007343296,w897,940 110012554149,W923,No Shade,29,31,46,56,68,74,58,41,45,18,27,42,67,57,85,40,58,73,47,78,,
940 110007343296,w897,940 110012567013,2965,No Shade,6,3,32,59,48,57,62,67,38,68,23,20,67,110,64,31,68,19,29,42,10,
